position,indicator,coefficient,kept_predictors,abs_coef,type,champ1,champ2
103,Sona,0.490168098,1,0.490168098,main,0,0
60,LeBlanc,-0.426955412,1,0.426955412,main,0,0
69,Maokai,0.406714648,1,0.406714648,main,0,0
66,Lux,0.405458013,1,0.405458013,main,0,0
137,Ziggs,0.383050648,1,0.383050648,main,0,0
94,Ryze,-0.340917889,1,0.340917889,main,0,0
19885,Slayer,-0.31662808,1,0.31662808,category,0,0
10,Bard,-0.306804342,1,0.306804342,main,0,0
38,Illaoi,0.301529766,1,0.301529766,main,0,0
122,Veigar,0.301233786,1,0.301233786,main,0,0
71,Miss Fortune,0.293430796,1,0.293430796,main,0,0
61,Lee Sin,-0.2912821,1,0.2912821,main,0,0
59,Kog'Maw,0.289196474,1,0.289196474,main,0,0
57,Kindred,-0.281605167,1,0.281605167,main,0,0
111,Teemo,0.280955406,1,0.280955406,main,0,0
100,Sion,0.28058864,1,0.28058864,main,0,0
77,Nidalee,-0.271093344,1,0.271093344,main,0,0
89,Rek'Sai,-0.269458253,1,0.269458253,main,0,0
21,Dr. Mundo,0.261987568,1,0.261987568,main,0,0
25,Evelynn,-0.256097716,1,0.256097716,main,0,0
44,Jayce,-0.256011089,1,0.256011089,main,0,0
12,Brand,0.2559587,1,0.2559587,main,0,0
101,Sivir,0.245260818,1,0.245260818,main,0,0
27,Fiddlesticks,0.244094632,1,0.244094632,main,0,0
9,Azir,-0.242722208,1,0.242722208,main,0,0
19884,Marksmen,0.237140952,1,0.237140952,category,0,0
41,Janna,0.233385652,1,0.233385652,main,0,0
140,Zyra,0.221945503,1,0.221945503,main,0,0
86,Quinn,-0.216215156,1,0.216215156,main,0,0
79,Nunu,-0.21571113,1,0.21571113,main,0,0
19881,Controller,0.215269459,1,0.215269459,category,0,0
105,Swain,0.214392564,1,0.214392564,main,0,0
32,Garen,0.213296232,1,0.213296232,main,0,0
45,Jhin,0.212941622,1,0.212941622,main,0,0
107,Tahm Kench,-0.212235695,1,0.212235695,main,0,0
70,Master Yi,0.202329796,1,0.202329796,main,0,0
129,Wukong,0.199573455,1,0.199573455,main,0,0
139,Zoe,-0.198541555,1,0.198541555,main,0,0
37,Heimerdinger,0.1966018,1,0.1966018,main,0,0
24,Elise,-0.196545086,1,0.196545086,main,0,0
55,Kennen,-0.194881557,1,0.194881557,main,0,0
91,Rengar,-0.18865261,1,0.18865261,main,0,0
134,Yorick,0.186921936,1,0.186921936,main,0,0
108,Taliyah,-0.18537903,1,0.18537903,main,0,0
114,Trundle,0.182832488,1,0.182832488,main,0,0
54,Kayn,-0.182514204,1,0.182514204,main,0,0
95,Sejuani,-0.177806127,1,0.177806127,main,0,0
